city1,city2
Dückerweg,Dortmund
Debstedt,HagenimBremischen
Deggendorf,Dingolfing
Deidesheim,Edenkoben
Delmenhorst,Dibbersen
Delmenhorst,Filsum
Denkendorf,Dessau
Derneburg,Dettingen
Dessau,Dittersdorf
Dettingen,Dietmannsried
Dibbersen,Eppelborn
Diedenbergen,Erlensee
Diemelstadt,Düsseldorf
Dierdorf,Diez
Dietmannsried,Dinkelsbühl
Diez,Dinslaken
Dillenburg,Dortmund
Dillingen,Einöd
Dingolfing,Erding
Dinkelsbühl,Dorfmark
Dinslaken,Düsseldorf
Dinslaken,Duisburg
Dissen,Harderberg
Dittersdorf,Droyßig
Dülmen,Haltern
Dorfgütingen,Enkenbach
Dorfmark,Echte
Dormagen,Ehrenfeld
Dorsheim,Emmelshausen
Dorsten,Dörpen
Dorsten,Düsseldorf
Dortmund,Drolshagen
Dortmund,Duisburg
Dortmund,Eilsleben
Dossenheim,Efringen
Dreieck,Gesmold
Dreieich,Egelsbach
Dremmen,Düsseldorf
Düren,Dresden
Dresden,Eckenhagen
Drolshagen,Ehringshausen
Droyßig,Eching
Dörpen,Emden
Düsseldorf,Duisburg
Düsseldorf,Elmpt
Düsseldorf,Enste
Düsseldorf,Erwitte
Duben,Freiwalde
Duisburg,Elten
Duisburg,Essen
Duisburg,Flughafen
Duisburg,Krefeld
Eching,Eisenberg
Echte,Egestorf
Eckenhagen,Eisenach
Edenkoben,Haßloch
Edermünde,Felsberg
Efringen,Ettenheim
Egelsbach,Frankfurt
Egestorf,Ellwangen
Ehningen,Empfingen
Ehrenfeld,Goch
Ehringshausen,Florstadt
Eilsleben,Essen
Einöd,Elversberg
Eisenach,Engelskirchen
Eisenberg,Garching
Ellwangen,Evendorf
Elmpt,Essen
Elmshorn,Halstenbek
Elsendorf,Falkenberg
Elten,Emmerich
Eltersdorf,Erlangen
Eltmann,Gochsheim
Elversberg,Esslingen
Emden,Gescher
Emmelshausen,Erftstadt
Emmerich,Erlangen
Empfingen,Engen
Engelbostel,Hannover
Engelskirchen,Erfurt
Engen,Geisingen
Enkenbach,Frankenthal
Enste,Erkelenz
Eppelborn,Erftstadt
Erbes,Freimersheim
Erding,Flughafen
Erftstadt,Euskirchen
Erftstadt,Gau
Erfurt,Eschweiler
Erfurt,Traßdorf
Erkelenz,Erkrath
Erkheim,Germering
Erkner,Falkensee
Erkrath,Freienohl
Erlangen,Feucht
Erlangen,Frankfurt
Erlensee,Eschborn
Erwitte,Geseke
Eschborn,Frankfurt
Eschenlohe,München
Eschweiler,Frankenberg
Essen,Exter
Essen,Freudenbergstraße
Essen,Gelsenkirchen
Esslingen,Felden
Ettenheim,Ettlingen
Ettlingen,Fernwald
Euskirchen,Eutin
Eutin,Frechen
Evendorf,Fallingbostel
Exter,Garbsen
Falkenberg,Hausen
Falkensee,Ferch
Fallersleben,Flechtorf
Fallingbostel,Feuchtwangen
Fedderwarden,Fedderwardergroden
Fedderwardergroden,Großenkneten
Fehrbellin,Hagenow
Felden,Frasdorf
Feldkirchen,Forstinning
Felsberg,Fritzlar
Ferch,Freienbrink
Fernwald,Frankfurt
Feucht,Forchheim
Feuchtwangen,Fleestedt
Filsum,Ganderkesee
Finowfurt,Gramzow
Flechtorf,Salzgitter
Fleestedt,Flensburg
Flensburg,Friedland
Florstadt,Freudenberg
Flughafen,Freising
Flughafen,Heckerdamm
Flughafen,Lind
Forchheim,Fürth
Forstinning,München
Frankenberg,Friedewald
Frankenthal,Grünstadt
Frankfurt,Frauenaurach
Frankfurt,Freiburg
Frankfurt,Gelnhausen
Frankfurt,Langen
Frankfurt,Opelrondell
Frasdorf,Friedrichsthal
Frauenaurach,Garham
Frechen,Gevelsberg
Freiburg,Friedberg
Freienbrink,Genshagen
Freienohl,Grevenbroich
Freimersheim,Göllheim
Freisen,Glan
Freising,Landau
Freiwalde,Groß
Freudenberg,Gießen
Freudenbergstraße,Gelsenkirchen
Friedberg,Hartheim
Friedewald,Gera
Friedland,Fulda
Friedrichsthal,Günzburg
Fritzlar,Gudensberg
Fürth,Hirschaid
Fulda,Garlstorf
Ganderkesee,Hatten
Garbsen,Gelsenkirchen
Garching,Gefrees
Garham,Geiselwind
Garlstorf,Giengen
Gau,Gundersheim
Geesthacht,Hamburg
Gefrees,Greding
Geiselwind,Hamminkeln
Geisingen,Gerchsheim
Gelnhausen,Gründau
Gelsenkirchen,Gladbeck
Gelsenkirchen,Herne
Gelsenkirchen,Hostert
Gelsenkirchen,Kempen
Genshagen,Glindow
Gera,Gerstungen
Gerchsheim,Gottmadingen
Germering,Gilching
Gernsheim,Groß
Gerstungen,Glauchau
Gescher,Gladbeck
Geseke,Heiligenhaus
Gesmold,Gildehaus
Gevelsberg,Greven
Gießen,Hagen
Gießen,Langgöns
Giengen,Gollhofen
Gilching,Greifenberg
Gildehaus,Gohfeld
Ginsheim,Heidesheim
Gladbeck,Gütersloh
Gladbeck,Haren
Glan,Hütschenhausen
Glauchau,Gotha
Glindow,Groß
Göllheim,Kirchheimbolanden
Günzburg,Grabenstätt
Goch,Holzbüttgen
Gochsheim,Haßfurt
Gohfeld,Hasbergen
Gollhofen,Gramschatzer
Gotha,Görlitz
Gottmadingen,Görtringen
Grabenstätt,Heimsheim
Grafschaft,Meckenheim
Gramschatzer,Großburgwedel
Gramzow,Joachimsthal
Greding,Großkugel
Greifenberg,Gröfelfing
Gremberghoven,Köln
Greven,Groß
Grevenbroich,Gustorf
Grevenbroich,Haan
Gröfelfing,Inning
Grimma,Halle
Görlitz,Gummersbach
Gründau,Hanau
Grünstadt,Heilbronn
Groß,Großräschen
Groß,Hagen
Groß,Königs
Groß,Lorsch
Großburgwedel,Großenaspe
Großenaspe,Göttingen
Großenkneten,Hahn
Großkugel,Halle
Großräschen,Kittlitz
Görtringen,Heilbronn
Gütersloh,Hamm
Göttingen,Guxhagen
Gudensberg,Kassel
Gummersbach,Hainichen
Gundersheim,Gymnich
Gustavsburg,Hochheim
Gustorf,Jüchen
Guxhagen,Hamburg
Gymnich,Hockenheim
Haßfurt,Hallstadt
Haßloch,Insheim
Haan,Hagen
Haar,Hohenbrunn
Hagen,Haiger
Hagen,Hamburg
Hagen,Hückelhoven
HagenimBremischen,Ihlpohl
Hagenow,Hamburg
Hahn,Jaderberg
Haiger,Herborn
Hainichen,Herleshausen
Halle,Hermsdorf
Halle,Kleinpösna
Hallstadt,Knetzgau
Halstenbek,Hamburg
Haltern,Herne
Hamburg,Hamm
Hamburg,Hammelburg
Hamburg,Hanerau
Hamburg,Herzsprung
Hamburg,Tötensen
Hamm,Hannover
Hamm,Hasborn
Hammelburg,Hann.Münden
Hamminkeln,Hanau
Hanau,Hattersheim
Hanau,Höchstadt
Hanerau,Heide
Hann.Münden,Hannover
Hannover,Heidenheim
Hannover,Helmstedt
Hannover,Langenhagen
Hannover,Messegelände
Harderberg,Hilter
Haren,Heek
Harlingerode,Lengde
Hartenstein,Hof
Hartheim,Heidelberg
Hasbergen,Hiddenhausen
Hasborn,Heidenau
Hatten,Hude
Hattersheim,Hofheim
Hausen,Höchstädt
Höchstadt,Helmstadt
Höchstädt,Hof
Hückelhoven,Heinsberg
Heckerdamm,Hennigsdorf
Heek,Jemgum
Heide,Hohenfelde
Heidelberg,Hemsbach
Heidelberg,Mannheim
Heidenau,Hermeskeil
Heidenheim,Hildesheim
Heidesheim,Ingelheim
Heilbronn,Herrenberg
Heilbronn,Herrieden
Heiligenhaus,Holzwickede
Heimsheim,Heusweiler
Heinsberg,Hemer
Helmstadt,Hengersberg
Helmstedt,Henrichenburg
Hemer,Hilden
Hemsbach,Heppenheim
Hengersberg,Hünxe
Hennigsdorf,Holzhauser
Henrichenburg,Herford
Heppenheim,Herbolzheim
Herbolzheim,Hirschberg
Herborn,Karlstein
Herford,Herten
Heringen,Leipzig
Herleshausen,Hermsdorf
Hermeskeil,Hittfeld
Hermsdorf,Hilpoltstein
Hermsdorf,Hohenstein
Herne,Marl
Herne,Moers
Herrenberg,Hildrizhausen
Herrieden,Homburg
Herten,Hämelerwald
Herzsprung,Hornbek
Heusweiler,Hofoldinger
Höhr,Kaifenheim
Hiddenhausen,Hörstel
Hilden,Iserlohn
Hildesheim,Hünfeld
Hildrizhausen,Hilzingen
Hilpoltstein,Hof
Hilter,Osnabrück
Hilzingen,Horb
Hirschaid,Memmelsdorf
Hirschberg,Homberg
Hittfeld,Holdorf
Hämelerwald,Irxleben
Hünfeld,Homberg
Hünxe,Hösbach
Hochheim,Mainz
Hockenheim,Kaldenkirchen
Hof,Hormersdorf
Hof,Kiefersfelden
Hof,Pirk
Hofheim,Kelkheim
Hofoldinger,Holzkirchen
Hohenbrunn,Kirchheim
Hohenfelde,Horst
Hohenstein,Jena
Holdorf,Hollenstedt
Hollenstedt,Holz
Holz,Hürth
Holzbüttgen,Kamp
Holzhauser,Kurt
Holzkirchen,Irschenberg
Holzwickede,Jülich
Homberg,Illertissen
Homberg,Karlsruhe
Homburg,Öhringen
Horb,Ilsfeld
Hormersdorf,Ingolstadt
Hornbek,Kremmen
Horst,Itzehoe
Hostert,Kaarst
Öhringen,Ilshofen
Hörstel,Ibbenbüren
Hürth,Illingen
Hösbach,Idstein
Hütschenhausen,Kusel
Hüttenweg,Kleinmachnow
Hude,Leer
Ibbenbüren,Kirchlengern
Idstein,Iggensbach
Iggensbach,Kelsterbach
Ihlpohl,Neuenwalde
Illertissen,Kaltenkirchen
Illingen,Kamen
Ilsfeld,Leonberg
Ilshofen,Kaiserslautern
Ingelheim,Mainz
Ingolstadt,Klein
Inning,Jengen
Insheim,Kandel
Irschenberg,KarlsBad
Irxleben,Kamen
Iserlohn,Jüchen
Itzehoe,Lägerdorf
Jaderberg,Oldenburg
Jüchen,Meschede
Jemgum,Kirchhellen
Jena,Kerpen
Jengen,Landsberg
Jülich,Kassel
Joachimsthal,Lanke
Kaarst,Marl
Kaifenheim,Kaisersesch
Kaisersesch,Koblenz
Kaiserslautern,Kirchberg
Kaldenkirchen,Koblenz
Kaltenkirchen,Kassel
Kamen,Köln
Kamen,Königslutter
Kamp,Kleve
Kandel,Landau
KarlsBad,Kirchheim
Karlsruhe,Kronau
Karlstein,Langenselbold
Kassel,Kempten
Kassel,Krefeld
Kassel,Neuental
Kelkheim,Langenselbold
Kelsterbach,Kirchroth
Kempen,Kerken
Kempten,Kirchheim
Kerken,Mülheim
Kerpen,Köln
Kiefersfelden,Luhe
Kirchberg,Kupferzell
Kirchheim,Kitzingen
Kirchheim,Leipheim
Kirchheim,München
Kirchheimbolanden,Klein
Kirchhellen,Lathen
Kirchlengern,Laggenbeck
Kirchroth,Kitzingen
Kittlitz,Klettwitz
Kitzingen,Köln
Kitzingen,Laatzen
Klein,Köselitz
Klein,Nieder
Kleinmachnow,Potsdam
Kleinpösna,Klinga
Klettwitz,Lübbenau
Kleve,Krefeld
Klinga,Könnern
Köln,Knapsack
Köln,Königsforst
Köln,Kodersdorf
Knapsack,Ladbergen
Knetzgau,Kulmbach
Königs,Leest
Königsforst,Laaber
Königslutter,Lauenau
Könnern,Löbejün
Koblenz,Kruft
Koblenz,Laubach
Kodersdorf,Limbach
Krefeld,Lintorf
Krefeld,Longerich
Krefeld,Marsberg
Kremmen,Ludwigslust
Kronau,Ladenburg
Kruft,Laudert
Köselitz,Landsberg
Kulmbach,Roßdorf
Kupferzell,Landstuhl
Kurt,Saatwinkler
Kusel,Landstuhl
Laaber,Leverkusen
Laatzen,Langenau
Ladbergen,Lübeck
Ladenburg,Lahr
Laggenbeck,Löhne
Lahr,Langen
Landau,Landshut
Landau,Ludwigshafen
Landsberg,Langenbruck
Landsberg,Leutkirch
Landshut,Lohhof
Landstuhl,Lichtenau
Landstuhl,Nohfelden
Langen,Müllheim
Langen,Neu
Langenau,Marktbreit
Langenbruck,Lauf
Langenselbold,Lüdenscheid
Langenselbold,Maintal
Langgöns,Linden
Lanke,Penkun
Lathen,Leer
Laubach,Mayen
Laudert,Mendig
Lauenau,Lehnin
Lauf,Leipzig
Lübbenau,Marsdorf
Lübeck,Lengerich
Löbejün,Leipzig
Lüdenscheid,Mainhausen
Leer,Legden
Leer,Neuenkruge
Leest,Ludwigsfelde
Legden,Lembeck
Lehnin,Lehrte
Lehrte,Lostau
Leipheim,Leonberg
Leipzig,Leisnig
Leipzig,Lenting
Leipzig,Leuna
Leisnig,Magdeburg
Lembeck,Meppen
Lengde,Schladen
Lengerich,Lensahn
Lensahn,Lohne
Lenting,Lobenstein
Leonberg,Limbach
Leonberg,Ludwigsburg
Leuna,Lützen
Leutkirch,Lindau
Leverkusen,Limburg
Lägerdorf,Pinneberg
Löhne,Lotte
Lichtenau,Ludwigshafen
Limbach,Magdala
Limbach,Merchweiler
Limburg,Lohmar
Lind,Monheim
Lindau,Memmingen
Lobenstein,Manching
Lohhof,Moosburg
Lohmar,Marktheidenfeld
Lohne,Manderscheid
Longerich,Meerbusch
Lorsch,Rüsselsheim
Lostau,Magdeburg
Lotte,Melle
Lützen,Nordhausen
Ludwigsburg,Möckmühl
Ludwigsfelde,Mühlenbeck
Ludwigshafen,Mannheim
Ludwigshafen,Maxdorf
Ludwigshafen,Mutterstadt
Ludwigslust,Meyenburg
Luhe,Mainburg
Magdala,Meerane
Magdeburg,Marienborn
Magdeburg,Mutzschen
Mainburg,Marktredwitz
Mainhausen,Meinerzhagen
Maintal,Schlüchtern
Mainz,Prüm
Mainz,Wiesbaden
Manching,Marktschorgast
Manderscheid,Mehren
Mannheim,Neuendettelsau
Marienborn,Netzen
Marktbreit,Mellendorf
Marktheidenfeld,Metten
Marktredwitz,Mitterteich
Marktschorgast,Münchberg
Marl,Mönchengladbach
Marl,Nottuln
Marsberg,Meerbusch
Marsdorf,Massow
Massow,Mittenwalde
Maxdorf,Ruchheim
Mayen,Ochtendung
Möckmühl,Mundelsheim
Meerane,Moitzfeld
Meerbusch,Mönchengladbach
Meerbusch,Moers
Mehren,Mehring
Mehring,Münster
Meinerzhagen,Münzenberg
Melle,Natbergen
Mellendorf,Melsungen
Melsungen,Memmingen
Memmelsdorf,Möhrendorf
Memmingen,Mindelheim
Memmingen,Nersingen
Mendig,Miel
Meppen,Neermoor
Merchweiler,Merklingen
Merklingen,Merzig
Merzig,Mühlhausen
Meschede,Neuss
Metten,Mettmann
Mettmann,Montabaur
Meyenburg,Neuruppin
Mühlenbeck,Michendorf
Mühlhausen,München
Möhrendorf,Nürnberg
Michendorf,Niederlehme
Miel,Mönchengladbach
Mindelheim,München
Mittenwalde,Ortrand
Mitterteich,Nabburg
Mülheim,Moers
Müllheim,Ober
Münchberg,München
München,Murnau
München,Naila
München,Nalbach
München,Oberpfaffenhofen
München,Ottobrunn
München,Parsdorf
Mönchengladbach,Münchheide
Mönchengladbach,Nettetal
Mönchengladbach,Niederkrüchten
Münchheide,Neersen
Münster,Nettersheim
Münzenberg,Olpe
Moers,Neukirchen
Moers,Neuss
Moers,Oberhausen
Moitzfeld,Neudietendorf
Monheim,Pützchen
Montabaur,Neumarkt
Moosburg,Oberschleißheim
Mundelsheim,Neuenstadt
Murnau,Penzberg
Mutterstadt,Neustadt
Mutzschen,Naunhof
Nabburg,Neustadta.d.W.
Naila,Naumburg
Nalbach,Neukirchen
Natbergen,Nordhorn
Naumburg,Niemegk
Naunhof,Nossen
Neermoor,Ochtrup
Neersen,Osterath
Nersingen,Nesselwang
Nesselwang,Neumünster
Nettersheim,Neuenkirchen
Nettetal,Niederzissen
Netzen,Oberhausen
Neu,Oberursel
Neudietendorf,Nieder
Neuendettelsau,Neuenstein
Neuenkirchen,Neustadt
Neuenkruge,Oldenburg
Neuenstadt,Oberndorf
Neuenstein,Nürnberg
Neuental,Wabern
Neuenwalde,Nordholz
Neukirchen,Neunkirchen
Neukirchen,Straelen
Neumarkt,NeustadtWied
Neumünster,Niederaula
Neunkirchen,Oberelchingen
Neuruppin,NeustadtGlewe
Neuss,Rheinberg
Neuss,Sonnborner
Neustadt,Nonnweiler
Neustadt,Rohrbach
Neustadta.d.W.,Oberaudorf
NeustadtGlewe,Parchim
NeustadtWied,Neutraubling
Neutraubling,Neuwied
Neuwied,Nittendorf
Nieder,Nohra
Nieder,Saulheim
Niederaula,Niederstotzingen
Niederkrüchten,Ratingen
Niederlehme,Phöben
Niederstotzingen,Northeim
Niederzissen,Pfalzfeld
Niemegk,Nürnberg
Nittendorf,Nürnberg
Nohfelden,Nonnweiler
Nohra,Ohorn
Nonnweiler,Oldenburg
Nonnweiler,Pirmasens
Nordhausen,Werther
Nordholz,Schwanewede
Nordhorn,Osnabrück
Northeim,Nörten
Nossen,Schkeuditz
Nottuln,Recklinghausen
Nürnberg,Oberhausen
Nürnberg,Pegnitz
Nürnberg,Pleystein
Nürnberg,Röthenbach
Nörten,Owschlag
Ober,Offenburg
Oberaudorf,Pechbrunn
Oberelchingen,Odelzhausen
Oberhausen,Oberölsbach
Oberhausen,Oelde
Oberölsbach,Obertshausen
Oberndorf,Osterburken
Oberpfaffenhofen,Schöffelding
Oberschleißheim,Pilsting
Obertshausen,Offenbach
Oberursel,Offenbach
Ochtendung,Polch
Ochtrup,Papenburg
Odelzhausen,Perl
Oelde,Ostwestfalen
Offenbach,Opladen
Offenbach,Preungesheimer
Offenburg,Pfungstadt
Ohorn,Ottendorf
Oldenburg,Osnabrück
Oldenburg,Rastede
Oldenburg,Westerstede
Olpe,Schwerte
Opladen,Parsberg
Ortrand,Radeburg
Osnabrück,Oyten
Osnabrück,Paderborn
Osnabrück,Rheine
Osterath,Otzenrath
Osterburken,Pleidelsheim
Ostwestfalen,Peine
Ottendorf,Overath
Otzenrath,Ratingen
Overath,Pulsnitz
Owschlag,Oy
Oy,Quickborn
Oyten,Pansdorf
Paderborn,Schloß
Pansdorf,Posthausen
Papenburg,Reken
Parchim,Pritzwalk
Parsberg,Passau
Passau,Pocking
Pechbrunn,Pfreimd
Pegnitz,Pfaffenhofen
Peine,Porta
Penkun,Pfingstberg
Penzberg,Schöftlarn
Perl,Pforzheim
Pfaffenhofen,Plech
Pfalzfeld,Plaidt
Pfingstberg,Schmölln
Pforzheim,Rehlingen
Pfreimd,Ponholz
Pfungstadt,Rastatt
Phöben,Potsdam
Pilsting,Plattling
Pinneberg,Schafstedt
Pirk,Plauen
Pirmasens,Reichweiler
Plaidt,Rheinbach
Plattling,Wallersdorf
Plauen,Reichenbach
Plech,Rudolphstein
Pleidelsheim,Rottenburg
Pleystein,Rohrbach
Pocking,Pommersfelden
Polch,Ulmen
Pommersfelden,Ransbach
Ponholz,Regensburg
Porta,Recklinghausen
Posthausen,Quierschied
Potsdam,Rangsdorf
Potsdam,Saarmund
Pritzwalk,Putlitz
Prüm,Rüsselsheim
Pützchen,Rath
Pulsnitz,Rüdersdorf
Putlitz,Reinbek
Quickborn,Ramelsloh
Quierschied,Rade
Rade,Ratekau
Radeburg,Ragow
Ragow,Ruhland
Ramelsloh,Rendsburg
Rangsdorf,Rüdersdorf
Ransbach,Raunheim
Rastatt,Reiskirchen
Rastede,Sande
Ratekau,Reinfeld
Rath,Rheindorf
Ratingen,Reichwaldsallee
Ratingen,Schiefbahn
Raunheim,Rees
Rüdersdorf,Refrath
Rüdersdorf,Schwante
Recklinghausen,Rehren
Recklinghausen,Senden
Rees,Regensburg
Refrath,Reichshof
Regensburg,Regenstauf
Regensburg,Rohrbrunn
Regenstauf,Regnitzlosau
Regnitzlosau,Rehau
Rehau,Reischenhart
Rehlingen,Rohrdorf
Rehren,Rheda
Reichenbach,Stollberg
Reichshof,Ronneburg
Reichwaldsallee,Soest
Reichweiler,Thaleischweiler
Reinbek,Schwarzenbek
Reinfeld,Reinsfeld
Reinsfeld,Remscheid
Reischenhart,Schönwald
Reiskirchen,Riegel
Reken,Rhede
Remscheid,Riegelsberg
Rendsburg,Rhüden
Rhüden,Rothenburg
Rheda,Theeßen
Rhede,Riepe
Rheinbach,Rheinböllen
Rheinberg,Sonsbeck
Rheinböllen,Schifferstadt
Rheindorf,Richrath
Rheine,Riemsloh
Richrath,Spich
Riegel,Seeheim
Riegelsberg,Saarbrücken
Riemsloh,Salzbergen
Riepe,Schermbeck
Roßdorf,Scheßlitz
Rohrbach,Roth
Rohrbrunn,Rosenhof
Rohrdorf,Rosenheim
Ronneburg,Salzenforst
Rosenheim,Saarlouis
Rosenhof,Rottendorf
Roth,Saarbrücken
Rothenburg,Schleswig
Rottenburg,Rottweil
Rottendorf,Schlüsselfeld
Rottweil,Sindelfingen
Rüsselsheim,Waxweiler
Rudolphstein,Schleiz
Ruhland,Schönborn
Saarbrücken,Saarlouis
Saarbrücken,Salmtal
Saarbrücken,Schnelldorf
Saarbrücken,Sulzbach
Saarlouis,Saarwellingen
Saarlouis,Völklingen
Saarmund,Spanische
Saarwellingen,Schwalbach
Saatwinkler,Schulzendorfer
Salmtal,Scharbeutz
Salzbergen,Schüttorf
Salzenforst,Schmölln
Salzgitter,Sandkamp
Sande,Sandkrug
Sandkamp,Wartjenstedt
Sandkrug,Varel
Saulheim,Winnweiler
Schafstedt,Schenefeld
Scharbeutz,Schweich
Scheßlitz,Schirradorf
Schenefeld,Tornesch
Schermbeck,Twist
Schöffelding,Sigmarszell
Schöftlarn,Seeshaupt
Schiefbahn,Schwalmtal
Schifferstadt,Süchteln
Schirradorf,Schonungen
Schkeuditz,Wanzleben
Schladen,Vienenburg
Schlüchtern,Steinau
Schleiz,Schnaittach
Schleswig,Schwarmstedt
Schloß,Stukenbrock
Schlüsselfeld,Schwarzach
Schmölln,Schorba
Schmölln,Wandlitz
Schnaittach,Triptis
Schönborn,Schwarzheide
Schnelldorf,Schwabach
Schönwald,Schwandorf
Schonungen,Schweinfurt
Schorba,Siebenlehn
Süchteln,Stromberg
Schulzendorfer,Seidelstraße
Schwabach,Schwäbisch
Schwalbach,Schweinbach
Schwandorf,Schwarzenfeld
Schwanewede,Stotel
Schwante,Velten
Schwarmstedt,Schweinfurt
Schwarzach,Seligenstadt
Schwarzenbek,Suckow
Schwarzenfeld,Selb
Schwarzheide,Staakow
Schwäbisch,Schwetzingen
Schweich,Schwerte
Schweinbach,Stuttgart
Schweinfurt,Seesen
Schweinfurt,Stadelhofen
Schwerte,Sereetz
Schwerte,Siegen
Schwetzingen,Sinsheim
Seeheim,Teningen
Seesen,Soltau
Seeshaupt,Sindelsdorf
Seidelstraße,Stolpe
Selb,Siegenburg
Seligenstadt,Siebengebirge
Senden,Sprockhövel
Sereetz,Sittensen
Siebengebirge,Sinzing
Siebenlehn,Stadtroda
Siegen,Wetzlar
Siegenburg,Teublitz
Sigmarszell,Stadtzubringer
Sindelfingen,Stuttgart
Sindelsdorf,Wolfratshausen
Sinsheim,St.Ingbert
Sinzing,Solingen
Sittensen,Stapelfeld
Soest,Titz
Solingen,Stockstadt
Soltau,Tarp
